input,output,width,height,size_kb,threshold,radius,padding,error
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\en\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\en\synopsis.png,350,110,61.1,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\en\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\en\technical.png,350,91,49.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\es\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\es\audio.png,350,98,53.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\es\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\es\information.png,350,98,50.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\es\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\es\metadata.png,350,96,51.5,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\es\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\es\release.png,350,93,46.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\es\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\es\subtitles.png,350,90,51.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\es\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\es\synopsis.png,350,97,50.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\es\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\es\technical.png,350,92,50.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\fr\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\fr\audio.png,350,102,53.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\fr\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\fr\information.png,350,103,56.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\fr\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\fr\metadata.png,350,101,56.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\fr\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\fr\release.png,350,111,59.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\fr\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\fr\subtitles.png,350,104,58.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\fr\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\fr\synopsis.png,350,92,51.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\fr\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\fr\technical.png,350,91,50.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\en\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\en\audio.png,350,77,31.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\en\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\en\information.png,350,72,30.5,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\en\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\en\metadata.png,350,75,32.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\en\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\en\release.png,350,73,31.8,50,0.5,8,
